,No,Original_Name,Japanese_Name,Generation,Height_m,Weight_kg,Type_1,Type_2,Ability_1,Ability_2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Capture_Rate,Base_EXP,Final_EXP,Category,Mega_Evolution _Flag,Region_Forme,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,Mean,PE_HP,PE_Attack,PE_Defense,PE_SP_Attack,PE_SP_Defense,PE_Speed,EV_yield,Base_Friendship,Growth_Rate,Egg_Cycle,Experience type,Experience to level 100,Final Evolution,Is_Legendary,Is_Sublegendary,Is_Mythical,Mega Evolution,Alolan Form,Galarian Form,Gigantamax,Mega_evolution,Mega_evolution_alt,Against Normal,Against Fire,Against Water,Against Electric,Against Grass,Against Ice,Against Fighting,Against Poison,Against Ground,Against Flying,Against Psychic,Against Bug,Against Rock,Against Ghost,Against Dragon,Against Dark,Against Steel,Against Fairy,BMI,Pokemon_Category,Evolution_type,Evochain_0,Evochain_1,Evochain_2,Evochain_3,Evochain_4,Evochain_5,Evochain_6,Description
Quilladin,651,Quilladin,Hariborg,6,0.7,29.0,Grass,,Overgrow,,Bulletproof,Green,87.5,12.5,0,20,Ground,,45,142,1058960,Ordinary,,,61,78,95,56,58,57,405,67.5,0,0,2,0,0,0,2 Defense,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,59.2,Spiny Armor,3 stages evolution,Chespin,Level ,Quilladin,Level ,Chesnaught,,,It relies on its sturdy shell to deflect predators’ attacks. It counterattacks with its sharp quills.
Chesnaught,652,Chesnaught,Brigarron,6,1.6,90.0,Grass,Fighting,Overgrow,,Bulletproof,Green,87.5,12.5,0,20,Ground,,45,239,1058960,Ordinary,,,88,107,122,74,75,64,530,88.3,0,0,3,0,0,0,3 Defense,50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,,,,1,2,0.5,0.5,0.5,2,1,2,0.5,4,2,1,0.5,1,1,0.5,1,2,35.2,Spiny Armor,3 stages evolution,Chespin,Level ,Quilladin,Level ,Chesnaught,,,Its Tackle is forceful enough to flip a 50-ton tank. It shields its allies from danger with its own body.
Fennekin,653,Fennekin,Fokko,6,0.4,9.4,Fire,,Blaze,,Magician,Red,87.5,12.5,0,20,Ground,,45,61,1058960,Ordinary,,,40,45,40,62,60,60,307,51.2,0,0,0,1,0,0,1 Special Attack,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,58.8,Fox,3 stages evolution,Fennekin,Level ,Braixen,Level ,Delphox,,,"Eating a twig fills it with energy, and its roomy ears give vent to air hotter than 390 degrees Fahrenheit."
Braixen,654,Braixen,Tairenar,6,1.0,14.5,Fire,,Blaze,,Magician,Red,87.5,12.5,0,20,Ground,,45,143,1058960,Ordinary,,,59,59,58,90,70,73,409,68.2,0,0,0,2,0,0,2 Special Attack,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,0.5,2,1,0.5,0.5,1,1,2,1,1,0.5,2,1,1,1,0.5,0.5,14.5,Fox,3 stages evolution,Fennekin,Level ,Braixen,Level ,Delphox,,,"It has a twig stuck in its tail. With friction from its tail fur, it sets the twig on fire and launches into battle."
Delphox,655,Delphox,Mahoxy,6,1.5,39.0,Fire,Psychic,Blaze,,Magician,Red,87.5,12.5,0,20,Ground,,45,240,1058960,Ordinary,,,75,69,72,114,100,104,534,89.0,0,0,0,3,0,0,3 Special Attack,50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,,,,1,0.5,2,1,0.5,0.5,0.5,1,2,1,0.5,1,2,2,1,2,0.5,0.5,17.3,Fox,3 stages evolution,Fennekin,Level ,Braixen,Level ,Delphox,,,"It gazes into the flame at the tip of its branch to achieve a focused state, which allows it to see into the future."
Froakie,656,Froakie,Keromatsu,6,0.3,7.0,Water,,Torrent,,Protean,Blue,87.5,12.5,0,20,Water1,,45,63,1058960,Ordinary,,,41,56,40,62,44,71,314,52.3,0,0,0,0,0,1,1 Speed,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,77.8,Bubble Frog,3 stages evolution,Froakie,Level ,Frogadier,Level ,Greninja,,,It secretes flexible bubbles from its chest and back. The bubbles reduce the damage it would otherwise take when attacked.
Frogadier,657,Frogadier,Gekogashira,6,0.6,10.9,Water,,Torrent,,Protean,Blue,87.5,12.5,0,20,Water1,,45,142,1058960,Ordinary,,,54,63,52,83,56,97,405,67.5,0,0,0,0,0,2,2 Speed,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,0.5,0.5,2,2,0.5,1,1,1,1,1,1,1,1,1,1,0.5,1,30.3,Bubble Frog,3 stages evolution,Froakie,Level ,Frogadier,Level ,Greninja,,,"It can throw bubble-covered pebbles with precise control, hitting empty cans up to a hundred feet away."
Greninja,658,Greninja,Gekkouga,6,1.5,40.0,Water,Dark,Torrent,,Protean,Blue,87.5,12.5,0,20,Water1,,45,239,1058960,Ordinary,,,72,95,67,103,71,122,530,88.3,0,0,0,0,0,3,3 Speed,50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,,,,1,0.5,0.5,2,2,0.5,2,1,1,1,0,2,1,0.5,1,0.5,0.5,2,17.8,Ninja,3 stages evolution,Froakie,Level ,Frogadier,Level ,Greninja,,,"It creates throwing stars out of compressed water. When it spins them and throws them at high speed, these stars can split metal in two."
Greninja (Ash),658,Greninja,,6,1.5,40.0,Water,Dark,Battle Bond,,,Blue,100,0,0,20,Undiscovered,,45,288,1058960,Ordinary,,,72,145,67,153,71,132,640,106.7,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunnelby,659,Bunnelby,Horubee,6,0.4,5.0,Normal,,Pickup,Cheek Pouch,Huge Power,Brown,50,50,0,15,Ground,,255,47,1000000,Ordinary,,,38,36,38,32,36,57,237,39.5,0,0,0,0,0,1,1 Speed,50,Medium Fast,15,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,31.3,Digging,2 stages evolution,Bunnelby,Level ,Diggersby,,,,,"It excels at digging holes. Using its ears, it can dig a nest 33 feet deep in one night."
Diggersby,660,Diggersby,Horudo,6,1.0,42.4,Normal,Ground,Pickup,Cheek Pouch,Huge Power,Brown,50,50,0,15,Ground,,127,148,1000000,Ordinary,,,85,56,77,50,77,78,423,70.5,2,0,0,0,0,0,2 HP,50,Medium Fast,15,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,2,0,2,2,2,0.5,1,1,1,1,0.5,0,1,1,1,1,42.4,Digging,2 stages evolution,Bunnelby,Level ,Diggersby,,,,,"With power equal to an excavator, it can dig through dense bedrock. It’s a huge help during tunnel construction."
Fletchling,661,Fletchling,Yayakoma,6,0.3,1.7,Normal,Flying,Big Pecks,,Gale Wings,Red,50,50,0,15,Flying,,255,56,1058960,Ordinary,,,45,50,43,40,38,62,278,46.3,0,0,0,0,0,1,1 Speed,50,Medium Slow,15,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,1,1,2,0.5,2,1,1,0,1,1,0.5,2,0,1,1,1,1,18.9,Tiny Robin,3 stages evolution,Fletchling,Level ,Fletchinder,Level ,Talonflame,,,Its melodious cries are actually warnings. Fletchling will mercilessly peck at anything that enters its territory.
Fletchinder,662,Fletchinder,Hinoyakoma,6,0.7,16.0,Fire,Flying,Flame Body,,Gale Wings,Red,50,50,0,15,Flying,,120,134,1058960,Ordinary,,,62,73,55,56,52,84,382,63.7,0,0,0,0,0,2,2 Speed,50,Medium Slow,15,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,32.7,Ember,3 stages evolution,Fletchling,Level ,Fletchinder,Level ,Talonflame,,,"Fletchinder launches embers into the den of its prey. When the prey comes leaping out, Fletchinder’s sharp talons finish it off."
Talonflame,663,Talonflame,Fiarrow,6,1.2,24.5,Fire,Flying,Flame Body,,Gale Wings,Red,50,50,0,15,Flying,,45,175,1058960,Ordinary,,,78,81,71,74,69,126,499,83.2,0,0,0,0,0,3,3 Speed,50,Medium Slow,15,Medium Slow,1059860,1,0,0,0,0,0,0,,,,1,0.5,2,2,0.25,1,0.5,1,0,1,1,0.25,4,1,1,1,0.5,0.5,17,Scorching,3 stages evolution,Fletchling,Level ,Fletchinder,Level ,Talonflame,,,"Talonflame mainly preys upon other bird Pokémon. To intimidate opponents, it sends embers spewing from gaps between its feathers."
Scatterbug,664,Scatterbug,Kofukimushi,6,0.3,2.5,Bug,,Shield Dust,Compound Eyes,Friend Guard,Black,50,50,0,15,Bug,,255,40,1000000,Ordinary,,,38,35,40,27,25,35,200,33.3,0,0,1,0,0,0,1 Defense,50,Medium Fast,15,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,27.8,Scatterdust,3 stages evolution,Scatterbug,Level ,Spewpa,Level ,Vivillon,,,"When under attack from bird Pokémon, it spews a poisonous black powder that causes paralysis on contact."
Spewpa,665,Spewpa,Kofuurai,6,0.3,8.4,Bug,,Shed Skin,,Friend Guard,Black,50,50,0,15,Bug,,120,75,1000000,Ordinary,,,45,22,60,27,30,29,213,35.5,0,0,2,0,0,0,2 Defense,50,Medium Fast,15,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,2,1,1,0.5,1,0.5,1,0.5,2,1,1,2,1,1,1,1,1,93.3,Scatterdust,3 stages evolution,Scatterbug,Level ,Spewpa,Level ,Vivillon,,,"It lives hidden within thicket shadows. When predators attack, it quickly bristles the fur covering its body in an effort to threaten them."
Vivillon (Tundra),666,Vivillon,,6,1.2,17.0,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,Blue,50,50,0,15,Bug,,45,185,1000000,Ordinary,,,80,52,50,90,50,89,411,68.5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon (Icy Snow),666,Vivillon,,6,1.2,17.0,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,White,50,50,0,15,Bug,,45,185,1000000,Ordinary,,,80,52,50,90,50,89,411,68.5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon (Sandstorm),666,Vivillon,,6,1.2,17.0,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,Brown,50,50,0,15,Bug,,45,185,1000000,Ordinary,,,80,52,50,90,50,89,411,68.5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon (Jungle),666,Vivillon,,6,1.2,17.0,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,Green,50,50,0,15,Bug,,45,185,1000000,Ordinary,,,80,52,50,90,50,89,411,68.5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon (Marine),666,Vivillon,,6,1.2,17.0,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,Blue,50,50,0,15,Bug,,45,185,1000000,Ordinary,,,80,52,50,90,50,89,411,68.5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon (Monsoon),666,Vivillon,,6,1.2,17.0,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,Gray,50,50,0,15,Bug,,45,185,1000000,Ordinary,,,80,52,50,90,50,89,411,68.5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon (Modern),666,Vivillon,,6,1.2,17.0,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,Red,50,50,0,15,Bug,,45,185,1000000,Ordinary,,,80,52,50,90,50,89,411,68.5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon (Pokeball),666,Vivillon,,6,1.2,17.0,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,Red,50,50,0,15,Bug,,45,185,1000000,Ordinary,,,80,52,50,90,50,89,411,68.5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon (River),666,Vivillon,,6,1.2,17.0,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,Brown,50,50,0,15,Bug,,45,185,1000000,Ordinary,,,80,52,50,90,50,89,411,68.5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon (Polar),666,Vivillon,,6,1.2,17.0,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,Blue,50,50,0,15,Bug,,45,185,1000000,Ordinary,,,80,52,50,90,50,89,411,68.5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon (Meadow),666,Vivillon,,6,1.2,17.0,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,Pink,50,50,0,15,Bug,,45,185,1000000,Ordinary,,,80,52,50,90,50,89,411,68.5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon (Ocean),666,Vivillon,,6,1.2,17.0,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,Red,50,50,0,15,Bug,,45,185,1000000,Ordinary,,,80,52,50,90,50,89,411,68.5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon (Sun),666,Vivillon,,6,1.2,17.0,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,Red,50,50,0,15,Bug,,45,185,1000000,Ordinary,,,80,52,50,90,50,89,411,68.5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon (High Plains),666,Vivillon,,6,1.2,17.0,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,Brown,50,50,0,15,Bug,,45,185,1000000,Ordinary,,,80,52,50,90,50,89,411,68.5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon (Continental),666,Vivillon,,6,1.2,17.0,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,Yellow,50,50,0,15,Bug,,45,185,1000000,Ordinary,,,80,52,50,90,50,89,411,68.5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon (Elegant),666,Vivillon,,6,1.2,17.0,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,Purple,50,50,0,15,Bug,,45,185,1000000,Ordinary,,,80,52,50,90,50,89,411,68.5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon (Fancy),666,Vivillon,,6,1.2,17.0,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,Pink,50,50,0,15,Bug,,45,185,1000000,Ordinary,,,80,52,50,90,50,89,411,68.5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon (Archipelago),666,Vivillon,,6,1.2,17.0,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,Blown,50,50,0,15,Bug,,45,185,1000000,Ordinary,,,80,52,50,90,50,89,411,68.5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon (Savanna),666,Vivillon,,6,1.2,17.0,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,Green,50,50,0,15,Bug,,45,185,1000000,Ordinary,,,80,52,50,90,50,89,411,68.5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vivillon (Garden),666,Vivillon,,6,1.2,17.0,Bug,Flying,Shield Dust,Compound Eyes,Friend Guard,Green,50,50,0,15,Bug,,45,185,1000000,Ordinary,,,80,52,50,90,50,89,411,68.5,1,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litleo,667,Litleo,Shishiko,6,0.6,13.5,Fire,Normal,Rivalry,Unnerve,Moxie,Brown,12.5,87.5,0,20,Ground,,220,74,1058960,Ordinary,,,62,50,58,73,54,72,369,61.5,0,0,0,1,0,0,1 Special Attack,50,Medium Slow,20,Medium Slow,1059860,0,0,0,0,0,0,0,,,,1,0.5,2,1,0.5,0.5,2,1,2,1,1,0.5,2,0,1,1,0.5,0.5,37.5,Lion Cub,2 stages evolution,Litleo,Level ,Pyroar,,,,,"When they’re young, they live with a pride. Once they’re able to hunt prey on their own, they’re kicked out and have to make their own way."
Pyroar,668,Pyroar,Kaenjishi,6,1.5,81.5,Fire,Normal,Rivalry,Unnerve,Moxie,Brown,12.5,87.5,0,20,Ground,,65,177,1058960,Ordinary,,,86,68,72,109,66,106,507,84.5,0,0,0,2,0,0,2 Special Attack,50,Medium Slow,20,Medium Slow,1059860,1,0,0,0,0,0,0,,,,1,0.5,2,1,0.5,0.5,2,1,2,1,1,0.5,2,0,1,1,0.5,0.5,36.2,Royal,2 stages evolution,Litleo,Level ,Pyroar,,,,,"The males are usually lazy, but when attacked by a strong foe, a male will protect its friends with no regard for its own safety."
Flabebe,669,Flabebe,,6,0.1,0.1,Fairy,,Flower Veil,,Symbiosis,White,0,100,0,20,Fairy,,225,61,1000000,Ordinary,,,44,38,39,61,79,42,303,50.5,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Floette,670,Floette,Floette,6,0.2,0.9,Fairy,,Flower Veil,,Symbiosis,White,0,100,0,20,Fairy,,120,130,1000000,Ordinary,,,54,45,47,75,98,52,371,61.8,0,0,0,0,2,0,2 Special Defense,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,22.5,Single Bloom,3 stages evolution,Flabébé,Level ,Floette,Use Shiny Stone,Florges,,,"It raises flowers and uses them as weapons. The more gorgeous the blossom, the more power it contains."
Florges,671,Florges,Florges,6,1.1,10.0,Fairy,,Flower Veil,,Symbiosis,White,0,100,0,20,Fairy,,45,248,1000000,Ordinary,,,78,65,68,112,154,75,552,92.0,0,0,0,0,3,0,3 Special Defense,50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,8.3,Garden,3 stages evolution,Flabébé,Level ,Floette,Use Shiny Stone,Florges,,,It controls the flowers it grows. The petal blizzards that Florges triggers are overwhelming in their beauty and power.
Skiddo,672,Skiddo,Meecle,6,0.9,31.0,Grass,,Sap Sipper,,Grass Pelt,Brown,50,50,0,20,Ground,,200,70,1000000,Ordinary,,,66,65,48,62,57,52,350,58.3,1,0,0,0,0,0,1 HP,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,38.3,Mount,2 stages evolution,Skiddo,Level ,Gogoat,,,,,"Thought to be one of the first Pokémon to live in harmony with humans, it has a placid disposition."
Gogoat,673,Gogoat,Gogoat,6,1.7,91.0,Grass,,Sap Sipper,,Grass Pelt,Brown,50,50,0,20,Ground,,45,186,1000000,Ordinary,,,123,100,62,97,81,68,531,88.5,2,0,0,0,0,0,2 HP,50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,2,0.5,0.5,0.5,2,1,2,0.5,2,1,2,1,1,1,1,1,1,31.5,Mount,2 stages evolution,Skiddo,Level ,Gogoat,,,,,It can tell how its Trainer is feeling by subtle shifts in the grip on its horns. This empathic sense lets them run as if one being.
Pancham,674,Pancham,Yancham,6,0.6,8.0,Fighting,,Iron Fist,Mold Breaker,Scrappy,White,50,50,0,25,Ground,Human-Like,220,70,1000000,Ordinary,,,67,82,62,46,48,43,348,58.0,0,1,0,0,0,0,1 Attack,50,Medium Fast,25,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,1,1,1,2,2,0.5,0.5,1,1,0.5,1,2,22.2,Playful,2 stages evolution,Pancham,Level 32 with a Dark-type in your team,Pangoro,,,,,It chooses a Pangoro as its master and then imitates its master’s actions. This is how it learns to battle and hunt for prey.
Pangoro,675,Pangoro,Goronda,6,2.1,136.0,Fighting,Dark,Iron Fist,Mold Breaker,Scrappy,White,50,50,0,25,Ground,Human-Like,65,173,1000000,Ordinary,,,95,124,78,69,71,58,495,82.5,0,2,0,0,0,0,2 Attack,50,Medium Fast,25,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,2,1,1,2,0,1,0.5,0.5,1,0.25,1,4,30.8,Daunting,2 stages evolution,Pancham,Level 32 with a Dark-type in your team,Pangoro,,,,,"This Pokémon is quick to anger, and it has no problem using its prodigious strength to get its way. It lives for duels against Obstagoon."
Furfrou,676,Furfrou,Trimmien,6,1.2,28.0,Normal,,Fur Coat,,,White,50,50,0,20,Ground,,160,165,1000000,Ordinary,,,75,80,60,65,90,102,472,78.7,0,0,0,0,0,1,1 Speed,50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,1,19.4,Poodle,No evolution,Furfrou,,,,,,,There was an era when aristocrats would compete to see who could trim their Furfrou’s fur into the most exquisite style.
Espurr,677,Espurr,Nyasper,6,0.3,3.5,Psychic,,Keen Eye,Infiltrator,Own Tempo,Gray,50,50,0,20,Ground,,190,71,1000000,Ordinary,,,62,48,54,63,60,68,355,59.2,0,0,0,0,0,1,1 Speed,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,0.5,1,1,1,0.5,2,1,2,1,2,1,1,38.9,Restraint,2 stages evolution,Espurr,Level ,Meowstic,,,,,"Though Espurr’s expression never changes, behind that blank stare is an intense struggle to contain its devastating psychic power."
Meowstic M,678,Meowstic,,6,0.6,8.5,Psychic,,Keen Eye,Infiltrator,Prankster,Blue,100,0,0,20,Ground,,75,163,1000000,Ordinary,,,74,48,76,83,81,104,466,77.7,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meowstic F,678,Meowstic,,6,0.6,8.5,Psychic,,Keen Eye,Infiltrator,Competitive,White,0,100,0,20,Ground,,75,163,1000000,Ordinary,,,74,48,76,83,81,104,466,77.7,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honedge,679,Honedge,Hitotsuki,6,0.8,2.0,Steel,Ghost,No Guard,,,Brown,50,50,0,20,Mineral,,180,65,1000000,Ordinary,,,45,80,100,35,37,28,325,54.2,0,0,1,0,0,0,1 Defense,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,0,2,1,1,0.5,0.5,0,0,2,0.5,0.5,0.25,0.5,2,0.5,2,0.5,0.5,3.1,Sword,3 stages evolution,Honedge,Level ,Doublade,Use Dusk Stone,Aegislash,,,Honedge’s soul once belonged to a person who was killed a long time ago by the sword that makes up Honedge’s body.
Doublade,680,Doublade,Nidangill,6,0.8,4.5,Steel,Ghost,No Guard,,,Brown,50,50,0,20,Mineral,,90,157,1000000,Ordinary,,,59,110,150,45,49,35,448,74.7,0,0,2,0,0,0,2 Defense,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,0,2,1,1,0.5,0.5,0,0,2,0.5,0.5,0.25,0.5,2,0.5,2,0.5,0.5,7,Sword,3 stages evolution,Honedge,Level ,Doublade,Use Dusk Stone,Aegislash,,,Honedge evolves into twins. The two blades rub together to emit a metallic sound that unnerves opponents.
Aegislash (Shield),681,Aegislash,,6,1.7,53.0,Steel,Ghost,Stance Change,,,Brown,50,50,0,20,Mineral,,45,250,1000000,Ordinary,,,60,50,140,50,140,60,500,83.3,0,0,2,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aegislash (Blade),681,Aegislash,,6,1.7,53.0,Steel,Ghost,Stance Change,,,Brown,50,50,0,20,Mineral,,45,250,1000000,Ordinary,,,60,140,50,140,50,60,500,83.3,0,2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spritzee,682,Spritzee,Shushupu,6,0.2,0.5,Fairy,,Healer,,Aroma Veil,Pink,50,50,0,20,Fairy,,200,68,1000000,Ordinary,,,78,52,60,63,65,23,341,56.8,1,0,0,0,0,0,1 HP,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,12.5,Perfume,2 stages evolution,Spritzee,Trade with  Sachet,Aromatisse,,,,,A scent pouch within this Pokémon’s body allows it to create various scents. A change in its diet will alter the fragrance it produces.
Aromatisse,683,Aromatisse,Frefuwan,6,0.8,15.5,Fairy,,Healer,,Aroma Veil,Pink,50,50,0,20,Fairy,,140,162,1000000,Ordinary,,,101,72,72,99,89,29,462,77.0,2,0,0,0,0,0,2 HP,50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,24.2,Fragrance,2 stages evolution,Spritzee,Trade with  Sachet,Aromatisse,,,,,The scent that constantly emits from its fur is so powerful that this Pokémon’s companions will eventually lose their sense of smell.
Swirlix,684,Swirlix,Peroppafu,6,0.4,3.5,Fairy,,Sweet Veil,,Unburden,White,50,50,0,20,Fairy,,200,68,1000000,Ordinary,,,62,48,66,59,57,49,341,56.8,0,0,1,0,0,0,1 Defense,50,Medium Fast,20,Medium Fast,1000000,0,0,0,0,0,0,0,,,,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,21.9,Cotton Candy,2 stages evolution,Swirlix,Trade with  Whipped Dream,Slurpuff,,,,,"It eats its own weight in sugar every day. If it doesn’t get enough sugar, it becomes incredibly grumpy."
Slurpuff,685,Slurpuff,Peroream,6,0.8,5.0,Fairy,,Sweet Veil,,Unburden,White,50,50,0,20,Fairy,,140,168,1000000,Ordinary,,,82,80,86,85,75,72,480,80.0,0,0,2,0,0,0,2 Defense,50,Medium Fast,20,Medium Fast,1000000,1,0,0,0,0,0,0,,,,1,1,1,1,1,1,0.5,2,1,1,1,0.5,1,1,0,0.5,2,1,7.8,Meringue,2 stages evolution,Swirlix,Trade with  Whipped Dream,Slurpuff,,,,,"By taking in a person’s scent, it can sniff out their mental and physical condition. It’s hoped that this skill will have many medical applications."
